#,Ticker,MCap
618,VRNT,$2.36 B
619,LESL,$2.36 B
620,FFBC,$2.36 B
621,IBTX,$2.35 B
622,AKRO,$2.35 B
623,ITRI,$2.34 B
624,CLBK,$2.34 B
625,VICR,$2.34 B
626,LGIH,$2.33 B
627,NTCT,$2.33 B
628,XENE,$2.32 B
629,RVNC,$2.32 B
630,OMCL,$2.32 B
631,STFC,"$2.32 B                                                (Feb. 1, 2022)"
632,APPN,$2.31 B
633,GLNG,$2.31 B
634,JBLU,$2.29 B
635,MIK,"$2.29 B                                                (Feb. 18, 2021)"
636,MGPI,$2.28 B
637,TIGO,$2.28 B
638,URBN,$2.27 B
639,CVAC,$2.26 B
640,GBDC,$2.25 B
641,COLB,$2.25 B
642,THRM,$2.24 B
643,NAVI,$2.24 B
644,RTLR,"$2.23 B                                                (Aug. 1, 2022)"
645,TRMD,$2.22 B
646,PACB,$2.22 B
647,FROG,$2.22 B
648,PRGS,$2.22 B
649,WDFC,$2.21 B
650,NUVA,$2.21 B
651,CORT,$2.21 B
652,SONO,$2.20 B
653,SABR,$2.20 B
654,SABRP,$2.20 B
655,MSTR,$2.19 B
656,ODP,$2.19 B
657,CPRX,$2.19 B
658,BCRX,$2.18 B
659,JAMF,$2.18 B
660,TOWN,$2.18 B
661,CDEV,$2.17 B
662,WSBC,$2.17 B
663,TLND,"$2.17 B                                                (July 1, 2021)"
664,OAS,$2.14 B
665,CBRL,$2.14 B
666,SYKE,"$2.14 B                                                (July 1, 2021)"
667,TRMK,$2.13 B
668,CLDX,$2.13 B
669,BANR,$2.13 B
670,SBLK,$2.12 B
671,STRA,$2.12 B
672,WAFD,$2.11 B
673,SITM,$2.11 B
674,PSMT,$2.11 B
675,AGYS,$2.10 B
676,ATRC,$2.10 B
677,SUPN,$2.10 B
678,RAVN,"$2.09 B                                                (Nov. 1, 2021)"
679,CSQ,$2.08 B
680,AVAV,$2.08 B
681,CVCO,$2.07 B
682,RNST,$2.07 B
683,SIMO,$2.07 B
684,TTEC,$2.06 B
685,CORE,"$2.06 B                                                (Aug. 1, 2021)"
686,RVMD,$2.06 B
687,NVEE,$2.06 B
688,PAX,$2.05 B
689,VRRM,$2.05 B
690,CSIQ,$2.04 B
691,TRUP,$2.03 B
692,MOMO,$2.02 B
693,GDRX,$2.01 B
694,SMTC,$1.99 B
695,PTVE,$1.99 B
696,GOGO,$1.99 B
697,VCTR,$1.99 B
698,SBCF,$1.98 B
699,HTLF,$1.98 B
700,SILK,$1.97 B
701,FGEN,$1.96 B
702,CENT,$1.95 B
703,CENTA,$1.95 B
704,TMDX,$1.94 B
705,MDRX,$1.94 B
706,BLMN,$1.94 B
707,CAKE,$1.94 B
708,NMRK,$1.93 B
709,SNEX,$1.92 B
710,VERX,$1.91 B
711,ATSG,$1.91 B
712,ICFI,$1.90 B
713,CSWI,$1.90 B
714,ROIC,$1.90 B
715,FORM,$1.90 B
716,RLAY,$1.90 B
717,ARCB,$1.90 B
718,LILA,$1.89 B
719,LILAK,$1.89 B
720,SPNS,"$1.89 B                                                (Jan. 1, 2022)"
721,GPRE,$1.88 B
722,RPD,$1.88 B
723,KRYS,$1.88 B
724,LKFN,$1.87 B
725,PLAY,$1.86 B
726,EFSC,$1.86 B
727,SYBT,$1.86 B
728,XPEL,$1.85 B
729,GSKY,"$1.85 B                                                (April 1, 2022)"
730,HLIO,$1.85 B
731,CTRE,$1.84 B
732,NBTB,$1.83 B
733,IMKTA,$1.83 B
734,TRIL,"$1.82 B                                                (Nov. 1, 2021)"
735,CARG,$1.82 B
736,CSGS,$1.81 B
737,EXPI,$1.81 B
738,SNDX,$1.79 B
739,VRNA,$1.79 B
740,GOGL,$1.79 B
741,NWBI,$1.78 B
742,FTDR,$1.78 B
743,BATRK,$1.78 B
744,BATRA,$1.78 B
745,BRP,$1.77 B
746,HEES,$1.77 B
747,LAZR,$1.77 B
748,IRWD,$1.77 B
749,RCKT,$1.76 B
750,RYTM,$1.76 B
751,CDLX,"$1.76 B                                                (April 1, 2022)"
752,TGTX,$1.75 B
753,IDCC,$1.75 B
754,TH,$1.75 B
755,CATM,"$1.73 B                                                (Feb. 18, 2021)"
756,VCYT,$1.72 B
757,QADA,"$1.72 B                                                (Nov. 1, 2021)"
758,QADB,"$1.72 B                                                (Nov. 1, 2021)"
759,NMIH,$1.72 B
760,PCRX,$1.71 B
761,TLRY,$1.71 B
762,FBNC,$1.70 B
763,SWTX,$1.69 B
764,MLKN,$1.68 B
765,CRTO,$1.66 B
766,TBBK,$1.66 B
767,KDNY,$1.66 B
768,TTMI,$1.66 B
769,COHU,$1.65 B
770,HAIN,$1.65 B
771,KDMN,"$1.63 B                                                (Nov. 1, 2021)"
772,TVTY,"$1.62 B                                                (June 1, 2022)"
773,ADUS,$1.62 B
774,HLIT,$1.62 B
775,XNCR,$1.62 B
776,TCBK,$1.62 B
777,MYRG,$1.61 B
778,BLDP,$1.61 B
779,MRTN,$1.61 B
780,FRTA,"$1.61 B                                                (March 1, 2022)"
781,AGIO,$1.61 B
782,KYMR,$1.60 B
783,JACK,$1.59 B
784,BTRS,"$1.59 B                                                (Dec. 1, 2022)"
785,APPS,$1.58 B
786,AUPH,"$1.58 B                                                (July 1, 2021)"
787,ZEAL,$1.58 B
788,INFN,$1.58 B
789,WABC,$1.58 B
790,SASR,$1.57 B
791,COMM,$1.57 B
792,CNST,"$1.57 B                                                (Feb. 18, 2021)"
793,LAUR,$1.55 B
794,ADTN,$1.55 B
795,VRTU,"$1.55 B                                                (Feb. 18, 2021)"
796,MNTK,$1.55 B
797,VRTS,$1.53 B
798,ESTA,$1.53 B
799,VBTX,$1.52 B
800,ARVN,$1.52 B
801,GLUU,"$1.52 B                                                (Feb. 18, 2021)"
802,VRDN,$1.51 B
803,ECOL,"$1.51 B                                                (May 1, 2022)"
804,RNA,$1.51 B
805,PTNR,"$1.50 B                                                (Jan. 1, 2022)"
806,MCRI,$1.50 B
807,UPWK,$1.50 B
808,HOPE,$1.49 B
809,ZGNX,"$1.49 B                                                (March 1, 2022)"
810,MNRO,$1.49 B
811,TBK,$1.49 B
812,BGCP,$1.49 B
813,PATK,$1.48 B
814,MYGN,$1.47 B
815,VIVO,$1.47 B
816,ROCK,$1.47 B
817,GCMG,$1.46 B
818,TGLS,$1.46 B
819,CRSR,$1.46 B
820,UCTT,$1.46 B
821,SYNC,$1.46 B
822,DCPH,$1.45 B
823,EGBN,$1.45 B
824,SDGR,$1.44 B
825,TWST,$1.44 B
826,ALGT,$1.42 B
827,POSH,$1.42 B
828,MGNI,$1.42 B
829,LOB,$1.41 B
830,MSEX,$1.41 B
831,RETA,$1.41 B
832,HURN,$1.41 B
833,ROAD,$1.41 B
834,GERN,$1.40 B
835,PRAA,$1.40 B
836,OSIS,$1.40 B
837,REPL,$1.40 B
838,SCHL,$1.39 B
839,KALU,$1.39 B
840,UNIT,$1.37 B
841,KTOS,$1.37 B
842,RCII,$1.37 B
843,SATS,$1.37 B
844,CHCO,$1.37 B
845,MODV,$1.36 B
846,AMPH,$1.36 B
847,KROS,$1.35 B
848,CHEF,$1.35 B
849,BUSE,$1.35 B
850,DVAX,$1.35 B
851,EIGI,"$1.34 B                                                (Feb. 18, 2021)"
852,SRRA,"$1.34 B                                                (June 1, 2022)"
853,TTGT,$1.34 B
854,AFYA,$1.33 B
855,GSHD,$1.32 B
856,NEO,$1.32 B
857,CLMT,$1.32 B
858,IRBT,$1.32 B
859,DGII,$1.32 B
860,VCEL,$1.31 B
861,TVTX,$1.31 B
862,LMNX,"$1.31 B                                                (Feb. 18, 2021)"
863,SAVA,$1.30 B
864,CASH,$1.30 B
865,OM,$1.30 B
866,OCSL,$1.30 B
867,BCOR,$1.30 B
868,STBA,$1.29 B
869,SRCE,$1.29 B
870,AMEH,$1.29 B
871,OCFC,$1.29 B
872,LORL,"$1.28 B                                                (June 1, 2022)"
873,SVC,$1.28 B
874,KC,$1.28 B
875,ECHO,"$1.28 B                                                (Nov. 1, 2021)"
876,PAYA,$1.28 B
877,NMFC,$1.28 B
878,PRIM,$1.28 B
879,MNKD,$1.27 B
880,KRNT,$1.26 B
881,HTLD,$1.26 B
882,HIMX,$1.26 B
883,ANGI,$1.26 B
884,ATEC,$1.26 B
885,SBGI,$1.25 B
886,PLMR,$1.25 B
887,USCR,"$1.25 B                                                (July 1, 2021)"
888,CLFD,$1.24 B
889,SAFT,$1.24 B
890,ADPT,$1.24 B
891,DCOM,$1.24 B
892,CNXN,$1.24 B
893,GRBK,$1.23 B
894,PLUS,$1.23 B
895,NKLA,$1.23 B
896,TRS,$1.22 B
897,OPK,$1.21 B
898,NXGN,$1.21 B
899,AVID,$1.21 B
900,ECPG,$1.20 B
901,EBSB,"$1.20 B                                                (Nov. 1, 2021)"
902,FCEL,$1.20 B
903,CFFN,$1.20 B
904,LBAI,$1.20 B
905,SWIR,$1.19 B
906,MBUU,$1.18 B
907,CLNE,$1.18 B
908,ERII,$1.18 B
